id,name,aliases,category,price,active,servings_min,servings_max,allergens
huevito-dubai-de-pistacho,Huevito dubai de pistacho,huevito dubai de pistacho|huevito dubai de pistacho pascua,Dulcecitos,12.50,true,1,1,gluten|huevo|lacteos|frutos secos
huevito-turron-de-chocolate,Huevito turron de chocolate,huevito turron de chocolate|huevito turron de chocolate pascua,Dulcecitos,12.50,true,1,1,gluten|huevo|lacteos
jar-brownies-blondies-patty-pote-x-200g,Jar brownies & blondies patty pote x 200g,jar brownies & blondies patty pote x 200g,Packs de dulcecitos,25.00,true,,,gluten|huevo|lacteos
jar-galletas-choco-chips-y-toffee-patty-200g,Jar galletas choco chips y toffee patty 200g,jar galletas choco chips y toffee patty 200g,Packs de dulcecitos,25.00,true,,,gluten|huevo|lacteos
jar-mediano-de-galletas-mixtas-200-gr,Jar mediano de galletas mixtas 200 gr,jar mediano de galletas mixtas 200 gr,Packs de dulcecitos,25.00,true,8,10,gluten|huevo|lacteos
jardin-de-la-abuela,Jardin de la abuela,jardin de la abuela|jardin de la abuela dia de la madre,Kekes,65.00,true,6,8,gluten|huevo|lacteos
jardin-de-la-abuela-mini,Jardin de la abuela mini,jardin de la abuela mini|jardin de la abuela mini dia de la madre,Kekes,35.00,true,6,8,gluten|huevo|lacteos
jardin-magico-de-pera-grande,Jardin magico de pera grande,jardin magico de pera grande|jardin magico de pera grande dia de la madre,Tortas,115.00,true,12,16,gluten|huevo|lacteos
jardin-magico-de-pera-mediano,Jardin magico de pera mediano,jardin magico de pera mediano|jardin magico de pera mediano dia de la madre,Tortas,105.00,true,8,10,gluten|huevo|lacteos
keke-de-la-abuela-entero,Keke de la abuela entero,keke de la abuela entero,Kekes,59.00,true,6,8,gluten|huevo|lacteos
keke-de-la-abuela-indiv,Keke de la abuela indiv,keke de la abuela indiv,Individuales,9.00,true,1,1,gluten|huevo|lacteos
mini-alfajorcito,Mini alfajorcito,mini alfajorcito,Dulcecitos,3.00,true,1,1,gluten|huevo|lacteos
mini-bosque-de-chocolate,Mini bosque de chocolate,mini bosque de chocolate|mini bosque de chocolate dia de la madre,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-bosque-de-lucuma,Mini bosque de lucuma,mini bosque de lucuma|mini bosque de lucuma dia de la madre,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-bosque-de-zanahoria,Mini bosque de zanahoria,mini bosque de zanahoria|mini bosque de zanahoria dia de la madre,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-galleta-de-toffee,Mini galleta de toffee,mini galleta de toffee,Dulcecitos,3.50,true,1,1,gluten|huevo|lacteos
mini-galletas-para-mama-x9,Mini galletas para mama x9,mini galletas para mama x9|mini galletas para mama x9 dia de la madre,Packs de dulcecitos,39.00,true,9,9,gluten|huevo|lacteos
mini-keke-de-la-abuela-mama,Mini keke de la abuela - mama,mini keke de la abuela - mama|mini keke de la abuela - mama dia de la madre,Kekes,39.00,true,6,8,gluten|huevo|lacteos
mini-torta-de-chocolucuma,Mini torta  de chocolucuma,mini torta  de chocolucuma,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-torta-de-chocolate,Mini torta de chocolate,mini torta de chocolate,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-torta-de-pascua,Mini torta de pascua,mini torta de pascua|mini torta de pascua pascua,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-torta-de-zanahoria,Mini torta de zanahoria,mini torta de zanahoria,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-torta-especial,Mini torta especial,mini torta especial,Mini tortas,65.00,true,4,6,gluten|huevo|lacteos
mini-torta-red-velvet,Mini torta red velvet,mini torta red velvet,Mini tortas,52.00,true,4,6,gluten|huevo|lacteos
mini-trufas-para-mama-x12,Mini trufas para mama x12,mini trufas para mama x12|mini trufas para mama x12 dia de la madre,Packs de dulcecitos,39.00,true,12,12,gluten|huevo|lacteos
molde-de-turron-de-camote-y-pina-mediano,Molde de turron de camote y pina mediano,molde de turron de camote y pina mediano|molde de turron de camote y pina mediano octubre,Tortas,35.00,true,8,10,gluten|huevo|lacteos
mousse-de-chocolucuma-grande,Mousse de chocolucuma grande,mousse de chocolucuma grande,Tortas,129.00,true,12,16,huevo|lacteos
mousse-de-chocolucuma-indv,Mousse de chocolucuma individual,mousse de chocolucuma indv|mousse de chocolucuma individual,Individuales,16.00,true,1,1,huevo|lacteos
pack-x6-encuentrame-si-puedes,Pack x6 encuentrame si puedes,pack x6 encuentrame si puedes|pack x6 encuentrame si puedes pascua,Packs de dulcecitos,69.00,true,6,6,gluten|huevo|lacteos
pack-x8-encuentrame-si-puedes,Pack x8 encuentrame si puedes,pack x8 encuentrame si puedes|pack x8 encuentrame si puedes pascua,Packs de dulcecitos,89.00,true,8,8,gluten|huevo|lacteos
pie-de-limon-grande,Pie de limon grande,pie de limon grande,Tortas,95.00,true,12,16,gluten|huevo|lacteos
pie-de-limon-indiv,Pie de limon indiv,pie de limon indiv,Individuales,16.00,true,1,1,gluten|huevo|lacteos
pie-de-limon-para-papa-grande,Pie de limon para papa grande,pie de limon para papa grande|pie de limon para papa grande dia del padre,Tortas,95.00,true,12,16,gluten|huevo|lacteos
pie-de-manzana-grande,Pie de manzana grande,pie de manzana grande,Tortas,90.00,true,12,16,gluten|huevo|lacteos
pie-de-manzana-indiv,Pie de manzana indiv,pie de manzana indiv,Individuales,16.00,true,1,1,gluten|huevo|lacteos
pie-de-manzana-para-mama-grande,Pie de manzana para mama grande,pie de manzana para mama grande|pie de manzana para mama grande dia de la madre,Tortas,89.00,true,12,16,gluten|huevo|lacteos
pie-de-pecanas-grande,Pie de pecanas grande,pie de pecanas grande,Tortas,105.00,true,12,16,gluten|huevo|lacteos|frutos secos
pionono-de-chirimoya-grande,Pionono de chirimoya grande,pionono de chirimoya grande|pionono de chirimoya grande dia de la madre,Tortas,99.00,true,12,16,gluten|huevo|lacteos
quiche-capresse-entero,Quiche capresse entero,quiche capresse entero,Salados,80.00,true,6,8,gluten|lacteos
quiche-capresse-indiv,Quiche capresse indiv,quiche capresse indiv,Individuales,14.00,true,1,1,gluten|huevo|lacteos
quiche-cebolla-y-queso-entero,Quiche cebolla y queso entero,quiche cebolla y queso entero,Salados,80.00,true,6,8,gluten|lacteos
quiche-cebolla-y-queso-indiv,Quiche cebolla y queso indiv,quiche cebolla y queso indiv,Individuales,14.00,true,1,1,gluten|huevo|lacteos
quiche-poro-y-tocino-entero,Quiche poro y tocino entero,quiche poro y tocino entero,Salados,80.00,true,6,8,gluten|lacteos
quiche-poro-y-tocino-indiv,Quiche poro y tocino indiv,quiche poro y tocino indiv,Individuales,14.00,true,1,1,gluten|huevo|lacteos
sandwich-capresse,Sandwich capresse,sandwich capresse,Salados,16.00,true,1,1,gluten|lacteos
sandwich-de-pollo,Sandwich de pollo,sandwich de pollo,Salados,18.00,true,1,1,gluten|lacteos
sandwich-mixto,Sandwich mixto,sandwich mixto,Salados,16.00,true,1,1,gluten|lacteos
souffle-de-fresas-grande,Souffle de fresas grande,souffle de fresas grande,Tortas,99.00,true,12,16,gluten|huevo|lacteos
souffle-de-mango-grande,Souffle de mango grande,souffle de mango grande,Tortas,99.00,true,12,16,gluten|huevo|lacteos
torta-aniversario-grande,Torta aniversario grande,torta aniversario grande|torta aniversario grande aniversario,Tortas,159.00,true,12,16,gluten|huevo|lacteos
torta-brownie-dubai-de-crema-de-avellanas-xl,Torta brownie dubai de crema de avellanas xl,torta brownie dubai de crema de avellanas xl,Tortas,159.00,true,20,25,gluten|huevo|lacteos|frutos secos
torta-de-alfajor-dubai-xl,Torta de alfajor dubai xl,torta de alfajor dubai xl,Tortas,149.00,true,20,25,gluten|huevo|lacteos
torta-de-chocolate-clasica-celebra-con-patty-grande,Torta de chocolate clasica celebra con patty grande,torta de chocolate clasica celebra con patty grande|torta de chocolate clasica celebra con patty grande celebra,Tortas,105.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolate-clasica-celebra-con-patty-mediana,Torta de chocolate clasica celebra con patty mediana,torta de chocolate clasica celebra con patty mediana|torta de chocolate clasica celebra con patty mediana celebra,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-de-chocolate-clasica-grande,Torta de chocolate clasica grande,torta de chocolate clasica grande,Tortas,95.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolate-con-crema-de-avellanas-grande,Torta de chocolate con crema de avellanas grande,torta de chocolate con crema de avellanas grande,Tortas,120.00,true,12,16,gluten|huevo|lacteos|frutos secos
torta-de-chocolate-con-manjar-celebra-con-patty-grande,Torta de chocolate con manjar celebra con patty grande,torta de chocolate con manjar celebra con patty grande|torta de chocolate con manjar celebra con patty grande celebra,Tortas,105.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolate-con-manjar-celebra-grande,Torta de chocolate con manjar celebra grande,torta de chocolate con manjar celebra grande|torta de chocolate con manjar celebra grande celebra,Tortas,82.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolate-con-manjar-celebra-mediana,Torta de chocolate con manjar celebra mediana,torta de chocolate con manjar celebra mediana|torta de chocolate con manjar celebra mediana celebra,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-de-chocolate-con-manjar-grande,Torta de chocolate con manjar grande,torta de chocolate con manjar grande,Tortas,95.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolate-grande-para-papa,Torta de chocolate grande para papa,torta de chocolate grande para papa|torta de chocolate grande para papa dia del padre,Tortas,105.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolate-mediana-para-papa,Torta de chocolate mediana para papa,torta de chocolate mediana para papa|torta de chocolate mediana para papa dia del padre,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-de-chocolucuma-grande,Torta de chocolucuma grande,torta de chocolucuma grande,Tortas,105.00,true,12,16,gluten|huevo|lacteos
torta-de-chocolucuma-mediana,Torta de chocolucuma mediana,torta de chocolucuma mediana,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-de-chocopistacho-grande,Torta de chocopistacho grande,torta de chocopistacho grande,Tortas,149.00,true,12,16,gluten|huevo|lacteos|frutos secos
torta-de-chocopistacho-mediana,Torta de chocopistacho mediana,torta de chocopistacho mediana,Tortas,120.00,true,8,10,gluten|huevo|lacteos|frutos secos
torta-de-pera-grande,Torta de pera grande,torta de pera grande,Tortas,115.00,true,12,16,gluten|huevo|lacteos
torta-de-pera-mediana,Torta de pera mediana,torta de pera mediana,Tortas,90.00,true,8,10,gluten|huevo|lacteos
torta-de-zanahoria-celebra-grande,Torta de zanahoria celebra grande,torta de zanahoria celebra grande|torta de zanahoria celebra grande celebra,Tortas,105.00,true,12,16,gluten|huevo|lacteos
torta-de-zanahoria-celebra-mediana,Torta de zanahoria celebra mediana,torta de zanahoria celebra mediana|torta de zanahoria celebra mediana celebra,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-de-zanahoria-grande,Torta de zanahoria grande,torta de zanahoria grande,Tortas,95.00,true,12,16,gluten|huevo|lacteos
torta-de-zanahoria-mediana-para-papa,Torta de zanahoria mediana para papa,torta de zanahoria mediana para papa|torta de zanahoria mediana para papa dia del padre,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-de-zanahoria-para-papa-grande,Torta de zanahoria para papa grande,torta de zanahoria para papa grande|torta de zanahoria para papa grande dia del padre,Tortas,105.00,true,12,16,gluten|huevo|lacteos
cake-red-velvet-grande,Torta red velvet grande,torta red velvet grande|red velvet|red velvet grande,Tortas,105.00,true,12,16,gluten|huevo|lacteos
cake-red-velvet-mediana,Torta red velvet mediana,torta red velvet mediana|red velvet|red velvet mediana,Tortas,82.00,true,8,10,gluten|huevo|lacteos
torta-tres-leches-clasica-grande,Torta tres leches clasica grande,torta tres leches clasica grande,Tortas,95.00,true,12,16,gluten|huevo|lacteos
torta-tres-leches-de-fresa-grande,Torta tres leches de fresa grande,torta tres leches de fresa grande,Tortas,99.00,true,12,16,gluten|huevo|lacteos
torta-tres-leches-de-lucuma-grande,Torta tres leches de lucuma grande,torta tres leches de lucuma grande,Tortas,99.00,true,12,16,gluten|huevo|lacteos
torta-tres-leches-de-pistacho-grande,Torta tres leches de pistacho grande,torta tres leches de pistacho grande,Tortas,129.00,true,12,16,gluten|huevo|lacteos|frutos secos
torta-tres-leches-indiv,Torta tres leches indiv,torta tres leches indiv,Individuales,16.00,true,1,1,gluten|huevo|lacteos
torta-trufada-grande,Torta trufada grande,torta trufada grande,Tortas,120.00,true,12,16,gluten|huevo|lacteos
triple-de-pollo,Triple de pollo,triple de pollo,Salados,11.00,true,1,1,gluten|lacteos
trufa-de-chocolate,Trufa de chocolate,trufa de chocolate,Dulcecitos,3.00,true,1,1,gluten|huevo|lacteos
trufa-de-pistacho,Trufa de pistacho,trufa de pistacho,Dulcecitos,4.00,true,1,1,gluten|huevo|lacteos|frutos secos
turron-de-camote-y-pina-indiv,Turron de camote y pina indiv,turron de camote y pina indiv|turron de camote y pina indiv octubre,Tortas,13.00,true,12,16,gluten|huevo|lacteos
turron-de-chocolate-chico,Turron de chocolate chico,turron de chocolate chico,Tortas,55.00,true,12,16,gluten|huevo|lacteos
turron-de-chocolate-chico-para-mama,Turron de chocolate chico para mama,turron de chocolate chico para mama|turron de chocolate chico para mama dia de la madre,Tortas,55.00,true,12,16,gluten|huevo|lacteos
turron-de-chocolate-chico-para-papa,Turron de chocolate chico para papa,turron de chocolate chico para papa|turron de chocolate chico para papa dia del padre,Tortas,55.00,true,12,16,gluten|huevo|lacteos
turron-de-chocolate-grande,Turron de chocolate grande,turron de chocolate grande,Tortas,75.00,true,12,16,gluten|huevo|lacteos
turron-de-chocolate-grande-para-mama,Turron de chocolate grande para mama,turron de chocolate grande para mama|turron de chocolate grande para mama dia de la madre,Tortas,75.00,true,12,16,gluten|huevo|lacteos
turron-de-chocolate-indiv,Turron de chocolate indiv,turron de chocolate indiv,Individuales,14.00,true,1,1,gluten|huevo|lacteos
turron-de-chocolate-para-papa-grande,Turron de chocolate para papa grande,turron de chocolate para papa grande|turron de chocolate para papa grande dia del padre,Tortas,75.00,true,12,16,gluten|huevo|lacteos
turron-de-dona-pepa-grande,Turron de dona pepa grande,turron de dona pepa grande|turron de dona pepa grande octubre,Tortas,69.00,true,12,16,gluten|huevo|lacteos
turron-de-dona-pepa-indiv,Turron de dona pepa indiv,turron de dona pepa indiv|turron de dona pepa indiv octubre,Tortas,12.00,true,12,16,gluten|huevo|lacteos
